"","Polling firm/Commissioner","cita","Fieldwork date","Sample size","Turnout","PSOE","PP","Cs","UPsimbol.svg","Vox","ERC–Sobiranistes","JxCat","PNV","EHB.png","Compromís","CC–NCa","NA+","PRC","Más País.svg","CUP","Lead"
"15","PSOE","<a href= https://www.libertaddigital.com/espana/2019-11-06/el-tracking-post-debate-del-psoe-eleva-a-vox-a-mas-de-50-escanos-y-hunda-a-cs-hasta-los-15-1276647530/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> PSOE </a>","6 Nov 2019","","","30.0","","7.0","","15.0","","","","","","","","","","",""
"16","ElectoPanel/Electomanía","<a href= https://electomania.es/ep7n target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","5–6 Nov 2019","1,250","","27.3","20.2","8.1","13.1","14.8","3.7","1.6","1.5","1.0","","0.7","0.4","0.2","3.1","1.2","7.1"
"17","Hamalgama Métrica/OKDiario","<a href= https://okdiario.com/noticias/equipo-rojo-favorito-118-goles-azul-suma-98-verde-esta-racha-43-morado-mete-33-4788663 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Hamalgama Métrica/OKDiario </a>","4–6 Nov 2019","","","","","","","","","","","","","","","","","",""
"18","GESOP/El Periòdic","<a href= https://sondeos.elperiodic.ad/sondeo-elecciones-generales-noviembre-2019-tercera-entrega.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GESOP/El Periòdic </a>","4–6 Nov 2019","905","","26.8","19.9","7.0","13.0","15.6","3.0","1.5","","","","","","","2.6","1.3","6.9"
"19","ElectoPanel/Electomanía","<a href= https://electomania.es/ep6n target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","4–5 Nov 2019","1,250","","27.1","20.4","8.4","12.8","14.7","3.8","1.7","1.5","1.1","","0.7","0.4","0.2","3.1","1.3","6.7"
"20","GESOP/El Periòdic","<a href= https://sondeos.elperiodic.ad/sondeo-elecciones-generales-noviembre-2019-segunda-entrega.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GESOP/El Periòdic </a>","3–5 Nov 2019","904","","26.8","19.0","7.8","12.6","15.6","3.3","1.8","","","","","","","2.8","1.4","7.8"
"21","KeyData/Público","<a href= https://www.publico.es/politica/elecciones-10-n-sondeos-auge-vox-estancamiento-psoe-dejaria-empate-bloques.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> KeyData/Público </a>","4 Nov 2019","","71.2","27.4","21.1","9.5","12.7","12.5","3.8","1.9","1.5","1.0","","0.5","","","3.7","","6.3"
"22","ElectoPanel/Electomanía","<a href= https://electomania.es/ep5n/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","3–4 Nov 2019","1,250","","27.2","20.8","8.7","12.8","14.1","3.9","1.6","1.5","1.1","","0.6","0.4","0.2","3.1","1.2","6.4"
"23","GESOP/El Periòdic","<a href= https://sondeos.elperiodic.ad/sondeo-elecciones-generales-noviembre-2019-primera-entrega.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GESOP/El Periòdic </a>","31 Oct–4 Nov 2019","861","","26.6","19.0","8.2","12.8","15.0","3.6","1.5","","","","","","","2.8","1.5","7.6"
"24","GI Internacional/Diario16","<a href= https://diario16.com/estudio-demoscopico-de-diario16-para-el-10n-solo-la-gran-coalicion-sumaria-mayoria-absoluta/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GI Internacional/Diario16 </a>","3 Nov 2019","","","28.5","21.2","9.5","13.2","9.5","4.2","1.6","1.6","1.3","","0.2","0.4","0.3","4.3","0.5","7.3"
"25","ElectoPanel/Electomanía","<a href= https://electomania.es/ep4n/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","2–3 Nov 2019","1,250","","27.1","21.2","8.5","12.5","13.6","4.0","1.5","1.6","1.0","","0.6","0.4","0.2","3.4","1.3","5.9"
"26","Infortécnica","<a href= https://www.atlantico.net/articulo/espanha/psoe-consolida-liderazgo-provincia-volvera-ser-mas-votado/20191102235530737487.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Infortécnica </a>","2 Nov 2019","1,586","","","","","","","","","","","","","","","","",""
"27","ElectoPanel/Electomanía","<a href= https://electomania.es/ep4n/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","1–2 Nov 2019","1,250","","27.5","21.4","8.8","12.6","13.1","","","","","","","","","3.4","","6.1"
"28","SocioMétrica/El Español","<a href= https://www.elespanol.com/espana/20191103/vox-escanos-ultraderecha-llega-verdad-sondeo-espanol/441706186_0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SocioMétrica/El Español </a>","31 Oct–2 Nov 2019","1,100","","25.1","20.6","8.5","12.9","14.3","3.5","1.6","1.3","0.9","","0.6","0.4","0.2","3.9","1.4","4.5"
"29","Demoscopia Servicios/ESdiario","<a href= https://www.esdiario.com/778824607/Encuesta-la-remontada-historica-del-PP-y-Vox-pone-a-Sanchez-contra-las-cuerdas.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Demoscopia Servicios/ESdiario </a>","30 Oct–2 Nov 2019","","","27.3","22.1","9.2","12.8","12.7","","","","","","","","","3.8","","5.2"
"30","IMOP/El Confidencial","<a href= https://www.elconfidencial.com/elecciones-generales/2019-11-04/encuesta-imop-10n-psoe-gana-pp-vox-ciudadanos-up_2311276/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> IMOP/El Confidencial </a>","29 Oct–2 Nov 2019","1,639","68","28.0","19.6","10.1","11.5","13.9","","","","","","","","","3.3","","8.4"
"31","SW Demoscopia/infoLibre","<a href= https://www.infolibre.es/noticias/politica/2019/11/04/sanchez_ganador_elecciones_126_escanos_100580_1012.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SW Demoscopia/infoLibre </a>","28 Oct–2 Nov 2019","1,517","","28.5","20.3","8.8","12.0","13.7","4.0","1.4","","","","","","","4.7","0.8","8.2"
"32","ElectoPanel/Electomanía","<a href= https://electomania.es/ep2n target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","31 Oct–1 Nov 2019","1,250","","27.5","21.6","9.2","12.5","12.5","4.0","1.6","1.6","1.0","","0.6","0.4","0.3","3.6","1.2","5.9"
"33","ElectoPanel/Electomanía","<a href= https://electomania.es/ep2n target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","30–31 Oct 2019","1,250","","27.6","21.4","9.0","12.5","12.5","","","","","","","","","3.5","","6.2"
"34","Hamalgama Métrica/OKDiario","<a href= https://okdiario.com/espana/sanchez-frena-caida-saca-20-escanos-pp-vox-sigue-tercero-dispara-40-cs-naufraga-4769205 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Hamalgama Métrica/OKDiario </a>","29–31 Oct 2019","1,000","68.2","27.2","22.2","8.8","12.7","12.8","3.9","1.6","1.5","1.0","","0.7","0.4","0.2","3.7","1.1","5.0"
"35","Sondaxe/La Voz de Galicia","<a href= https://www.lavozdegalicia.es/noticia/elecciones/2019/11/02/gran-coalicion-llave-secesionismo/00031572728398569286110.htm target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sondaxe/La Voz de Galicia </a>","28–31 Oct 2019","1,001","72.8","26.5","20.4","9.3","12.1","12.6","4.1","1.8","1.5","1.6","","0.5","0.4","0.2","3.7","1.2","6.1"
"36","GESOP/El Periódico","<a href= https://www.elperiodico.com/es/politica/20191102/encuesta-elecciones-generales-2019-espana-7711466 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GESOP/El Periódico </a>","28–31 Oct 2019","1,504","","27.7","19.5","8.0","13.4","14.2","3.6","1.5","","","","","","","2.6","1.5","8.2"
"37","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/elecciones-generales/barometro-lasexta-psoe-ganaria-elecciones-10n-279-votos_201911015dbbf2e30cf2e8dc518e04b9.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Invymark/laSexta </a>","28–31 Oct 2019","","","27.9","22.0","9.9","11.8","10.5","","","","","","","","","3.8","","5.9"
"38","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/PSOE-conseguira-mejorar-resultados-abril_0_959954077.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Celeste-Tel/eldiario.es </a>","25–31 Oct 2019","1,100","67.8","27.6","21.9","9.2","12.9","12.0","3.9","1.7","1.6","1.0","","0.8","0.4","0.2","3.2","0.9","5.7"
"39","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/11/04/5dbf3610fdddfff6668b45a0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","24–31 Oct 2019","1,800","","27.9","20.3","8.9","13.5","13.2","4.0","1.2","1.4","","","","","","4.0","","7.6"
"40","NC Report/La Razón","<a href= https://www.larazon.es/espana/sanchez-cae-por-debajo-del-28-a-PB25536988 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> NC Report/La Razón </a>","14–31 Oct 2019","","67.1","27.3","22.7","8.8","12.1","12.2","3.9","1.6","1.6","1.0","","","","","3.5","","4.6"
"41","GAD3/ABC","<a href= https://www.abc.es/elecciones/elecciones-generales/abci-psoe-pincha-ciudadanos-derrumba-pp-frena-subida-y-dispara-201911032312_noticia.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GAD3/ABC </a>","14–31 Oct 2019","7,900","70.5","27.4","21.6","8.0","11.2","14.9","3.5","1.4","1.5","0.8","","0.4","0.4","0.2","2.8","1.6","5.8"
"42","ElectoPanel/Electomanía","<a href= https://electomania.es/ep31o/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","29–30 Oct 2019","1,250","","27.0","21.7","8.9","12.5","12.7","4.0","1.4","1.5","1.0","","0.6","0.4","0.3","3.9","1.2","5.3"
"43","DYM/Prensa Ibérica","<a href= https://www.laopiniondezamora.es/zamora/2019/11/03/centro-derecha-obtendria-votos-batalla/1201386.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> DYM/Prensa Ibérica </a>","25–30 Oct 2019","1,005","","26.8","19.4","10.0","12.5","13.6","","","","","","","","","3.3","","7.4"
"44","PSOE","<a href= https://www.vozpopuli.com/politica/elecciones-generales-psoe-vox-izquierda_0_1295271675.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> PSOE </a>","29 Oct 2019","","","","","","","","","","","","","","","","","",""
"45","Ipsos/Henneo","<a href= https://www.lainformacion.com/espana/elecciones-generales-sondeo-psoe-sanchez-pp-vox/6517074/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Ipsos/Henneo </a>","28–29 Oct 2019","2,000","70","26.0","19.4","10.0","13.0","14.0","3.5","2.1","1.5","","","","","","4.7","","6.6"
"46","ElectoPanel/Electomanía","<a href= https://electomania.es/ep31o/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","28–29 Oct 2019","1,250","","26.9","21.8","9.1","12.7","12.4","","","","","","","","","4.1","","5.1"
"47","Hamalgama Métrica/OKDiario","<a href= https://okdiario.com/espana/pp-arranca-campana-solo-18-escanos-psoe-estabilizado-120-4756524 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Hamalgama Métrica/OKDiario </a>","25–29 Oct 2019","1,000","67.6","27.1","22.5","9.0","12.6","12.1","3.9","1.5","1.5","1.0","","0.6","0.4","0.2","3.8","1.1","4.6"
"48","40dB/El País","<a href= https://elpais.com/politica/2019/11/02/actualidad/1572722730_904341.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> 40dB/El País </a>","23–29 Oct 2019","2,002","","27.3","21.2","8.3","12.4","13.7","","","","","","","","","4.4","","6.1"
"49","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/10/31/5db9e126fc6c83d6438b460f.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","21–29 Oct 2019","1,800","","27.5","20.6","8.9","13.5","13.4","4.0","1.2","1.4","","","","","","3.9","","6.9"
"50","ElectoPanel/Electomanía","<a href= https://electomania.es/ep29o/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","27–28 Oct 2019","1,250","","26.6","21.8","9.0","12.7","12.6","4.1","1.5","1.4","1.0","","0.6","0.4","0.3","4.0","1.2","4.8"
"51","Sigma Dos/Antena 3","<a href= https://www.antena3.com/noticias/espana/encuesta-electoral-ningun-bloque-obtendria-una-mayoria-clara-en-las-elecciones-generales-2019_201910275db59dd90cf2d4f059c0b7d8.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/Antena 3 </a>","27 Oct 2019","","","27.1","20.4","8.9","13.2","13.3","4.5","1.2","1.4","","","","","","3.9","1.1","6.7"
"52","SyM Consulting/EPDA","<a href= https://www.elperiodicodeaqui.com/epda-noticias/encuesta-elecciones-generales-para-el-periodico-de-aqui--la-derecha-podria-gobernar-con-entre-160y-183-diputados-y-el-psoe-bajaria-a-102-115-diputados/194646 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SyM Consulting/EPDA </a>","26–27 Oct 2019","1,923","72.3","27.1","22.2","10.3","9.6","13.8","3.5","","","","","","","","3.3","","4.9"
"53","ElectoPanel/Electomanía","<a href= https://electomania.es/ep29o/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","26–27 Oct 2019","1,250","","26.6","21.6","9.1","12.6","12.7","","","","","","","","","4.1","","5.0"
"54","KeyData/Público","<a href= https://www.publico.es/politica/elecciones-10-n-sondeos-crisis-catalana-reforzaria-pp-haria-dificil-gobierno-sanchez.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> KeyData/Público </a>","26 Oct 2019","","70.8","27.6","21.5","10.2","12.3","10.7","3.9","1.9","1.5","1.0","","0.5","","","4.6","","6.1"
"55","ElectoPanel/Electomanía","<a href= https://electomania.es/ep27o/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","25–26 Oct 2019","1,250","","27.2","22.2","9.3","12.2","11.8","3.9","1.5","1.5","1.0","","0.6","0.4","0.2","4.4","1.1","5.0"
"56","SocioMétrica/El Español","<a href= https://www.elespanol.com/espana/politica/20191027/pp-escanos-psoe-bloque-derechas-supera-izquierdas/439706604_0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SocioMétrica/El Español </a>","24–26 Oct 2019","1,100","","25.5","21.0","9.3","12.2","12.2","3.6","1.8","1.3","1.0","","0.4","0.3","0.3","5.1","1.3","4.5"
"57","ElectoPanel/Electomanía","<a href= https://electomania.es/ep27o/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","24–25 Oct 2019","1,250","","27.6","22.2","9.4","12.0","11.3","","","","","","","","","4.4","","5.4"
"58","Hamalgama Métrica/OKDiario","<a href= https://okdiario.com/espana/exhumacion-franco-impulsa-psoe-que-recupera-2-escanos-vox-que-empata-podemos-4743394 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Hamalgama Métrica/OKDiario </a>","22–25 Oct 2019","1,000","66.4","26.9","22.7","9.2","12.7","11.7","3.9","1.5","1.5","1.0","","0.4","0.4","0.2","4.3","0.8","4.2"
"59","Invymark/laSexta","<a href= https://www.electograph.com/2019/10/encuesta-invymark-191027.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Invymark/laSexta </a>","21–25 Oct 2019","","","28.6","21.7","10.6","11.5","10.0","","","","","","","","","4.2","","6.9"
"60","NC Report/La Razón","<a href= https://www.larazon.es/espana/encuesta-franco-impulsa-a-vox-cs-se-hunde-y-el-pp-sigue-al-alza-KG25459366 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> NC Report/La Razón </a>","16–25 Oct 2019","1,000","66.2","27.5","23.0","9.0","12.1","11.3","4.0","","1.7","","","","","","4.3","","4.5"
"61","ElectoPanel/Electomanía","<a href= https://electomania.es/ep25o/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","23–24 Oct 2019","1,250","","27.9","22.3","9.4","12.0","11.3","4.0","1.5","1.5","1.0","","0.6","0.4","0.2","4.2","1.1","5.6"
"62","GAD3/ABC","<a href= https://www.abc.es/elecciones/elecciones-generales/abci-psoe-pierde-ocho-escanos-solo-semanas-y-sube-hasta-41-201910272228_noticia.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GAD3/ABC </a>","21–24 Oct 2019","2,730","69","27.3","21.7","8.9","12.7","13.5","3.2","1.6","1.4","0.9","","0.4","0.4","0.2","2.8","1.1","5.6"
"63","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/PSOE-Vox-posiciones-electorales-Franco_0_957154353.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Celeste-Tel/eldiario.es </a>","21–24 Oct 2019","1,100","66.9","27.7","22.2","10.0","12.9","10.5","4.0","1.6","1.6","1.0","","0.7","0.4","0.2","4.4","0.8","5.5"
"64","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/10/28/5db5c278fc6c83937b8b4650.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","16–24 Oct 2019","1,600","","27.0","20.8","8.6","13.1","13.0","4.4","1.3","1.4","","","","","","4.0","","6.2"
"65","ElectoPanel/Electomanía","<a href= https://electomania.es/ep25o/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","22–23 Oct 2019","1,250","","27.6","22.1","9.9","12.2","10.9","","","","","","","","","4.3","","5.5"
"66","ElectoPanel/Electomanía","<a href= https://electomania.es/electopanel-23-o-el-anuncio-de-la-exhumacion-de-franco-da-un-leve-impulso-al-psoe-vox-marca-su-maximo-desde-el-28a/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","21–22 Oct 2019","1,250","","27.2","22.1","9.9","12.6","10.8","3.9","1.4","1.5","1.0","","0.6","0.4","0.2","4.4","1.2","5.1"
"67","Hamalgama Métrica/OKDiario","<a href= https://okdiario.com/espana/bloque-centroderecha-logra-superar-izquierda-semana-campana-del-10-n-4728500 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Hamalgama Métrica/OKDiario </a>","18–22 Oct 2019","1,000","","26.5","22.8","9.8","12.9","11.1","4.0","","","","","","","","4.1","","3.7"
"68","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2019/10/24/5db06a14fdddffc63c8b467b.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Sigma Dos/El Mundo </a>","11–22 Oct 2019","1,600","","27.3","21.4","8.8","12.7","12.0","4.2","1.5","1.6","","","","","","4.5","","5.9"
"69","ElectoPanel/Electomanía","<a href= https://electomania.es/electopanel-23-o-el-anuncio-de-la-exhumacion-de-franco-da-un-leve-impulso-al-psoe-vox-marca-su-maximo-desde-el-28a/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","20–21 Oct 2019","1,250","","26.9","22.1","10.0","12.7","10.7","","","","","","","","","4.6","","4.8"
"70","ElectoPanel/Electomanía","<a href= https://electomania.es/ep21o/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","19–20 Oct 2019","1,250","","26.9","22.3","10.0","12.8","10.6","4.0","1.3","1.5","1.0","","0.6","0.4","0.2","4.5","1.2","4.6"
"71","ElectoPanel/Electomanía","<a href= https://electomania.es/ep21o/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","18–19 Oct 2019","1,250","","26.7","22.4","10.1","12.9","10.5","","","","","","","","","4.6","","4.3"
"72","ElectoPanel/Electomanía","<a href= https://electomania.es/ep19o/ target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","17–18 Oct 2019","1,250","69.1","26.8","22.3","10.0","12.9","10.3","4.1","1.2","1.5","1.0","","0.6","0.4","0.3","4.5","1.3","4.5"
"73","Hamalgama Métrica/OKDiario","<a href= https://okdiario.com/espana/caos-cataluna-pasa-factura-sanchez-bloque-centroderecha-ya-empata-izquierdas-4714964 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Hamalgama Métrica/OKDiario </a>","16–18 Oct 2019","1,000","66.4","26.4","22.7","10.0","13.1","10.7","4.0","1.5","1.5","1.0","","0.6","0.5","0.2","3.9","0.8","3.7"
"74","GAD3/ABC","<a href= https://www.gad3.com/single-post/2019/10/28/Encuesta-GAD3-para-ABC---Elecciones-generales-10N target=""_blank"" rel=""nofollow noopener noreferrer"" style=""color: black; text-decoration: underline""> GAD3/ABC </a>","14–18 Oct 2019","3,233","70","28.7","23.0","8.3","11.2","11.9","3.8","1.6","1.5","0.9","","0.3","0.5","0.3","3.7","0.9","5.7"
"75","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-empate-tecnico-entre-unidas-podemos-y-ciudadanos-en-intencion-de-voto-video_201910205dac61e60cf252ab4075bbfd.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Invymark/laSexta </a>","14–18 Oct 2019","","","29.6","20.6","11.2","11.3","9.0","","","","","","","","","4.3","","9.0"
"76","SocioMétrica/El Español","<a href= https://www.elespanol.com/espana/politica/20191020/cataluna-factura-sanchez-sueno-casado-detiene-ciudadanos/437956870_0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SocioMétrica/El Español </a>","14–18 Oct 2019","","","26.1","21.5","9.7","11.8","11.7","3.3","1.8","1.4","0.9","","0.3","0.3","0.2","5.6","1.2","4.6"
"77","NC Report/La Razón","<a href= https://www.larazon.es/espana/casado-supera-los-cien-escanos-y-rivera-empata-con-abascal-DD25373642 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> NC Report/La Razón </a>","9–18 Oct 2019","","65.1","27.2","22.8","9.8","12.7","10.6","4.1","","1.7","","","","","","4.1","","4.4"
